#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2022
# Final Processing Date: 2022-10-25
# Final Processing Time: 13:29:02
# Spline RMSE gcc_mean: 0.00385
# Spline RMSE gcc_50: 0.00374
# Spline RMSE gcc_75: 0.00405
# Spline RMSE gcc_90: 0.00478
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_90,2008-05-01,2008-05-07,2008-05-15,2008-04-29,2008-05-05,2008-05-12,2008-05-04,2008-05-09,2008-05-16,0.37627,0.39039,0.41797,0.36765,0.46107
harvard,DB,1000,rising,gcc_90,2009-04-26,2009-05-02,2009-05-10,2009-04-23,2009-05-01,2009-05-08,2009-04-29,2009-05-04,2009-05-11,0.3772,0.39038,0.41935,0.36793,0.46205
harvard,DB,1000,rising,gcc_90,2010-04-18,2010-04-24,2010-05-02,2010-04-14,2010-04-23,2010-04-30,2010-04-21,2010-04-26,2010-05-03,0.37829,0.38977,0.42119,0.36891,0.46463
harvard,DB,1000,rising,gcc_90,2011-04-30,2011-05-06,2011-05-13,2011-04-28,2011-05-05,2011-05-11,2011-05-03,2011-05-08,2011-05-14,0.37885,0.394,0.42254,0.37057,0.46796
harvard,DB,1000,rising,gcc_90,2012-04-22,2012-04-29,2012-05-07,2012-04-15,2012-04-28,2012-05-05,2012-04-25,2012-05-01,2012-05-08,0.38243,0.39622,0.42816,0.37225,0.47502
harvard,DB,1000,rising,gcc_90,2013-04-28,2013-05-03,2013-05-10,2013-04-26,2013-05-02,2013-05-08,2013-04-30,2013-05-05,2013-05-11,0.38168,0.39589,0.42461,0.37245,0.4705
harvard,DB,1000,rising,gcc_90,2014-05-05,2014-05-09,2014-05-16,2014-05-04,2014-05-08,2014-05-15,2014-05-07,2014-05-11,2014-05-17,0.38192,0.39591,0.42729,0.37311,0.47997
harvard,DB,1000,rising,gcc_90,2015-04-30,2015-05-05,2015-05-12,2015-04-27,2015-05-04,2015-05-10,2015-05-02,2015-05-07,2015-05-13,0.38193,0.39553,0.42193,0.37265,0.46648
harvard,DB,1000,rising,gcc_90,2016-05-05,2016-05-11,2016-05-17,2016-05-02,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-18,0.38537,0.39968,0.42622,0.37546,0.47661
harvard,DB,1000,rising,gcc_90,2017-05-02,2017-05-08,2017-05-15,2017-04-28,2017-05-07,2017-05-14,2017-05-05,2017-05-10,2017-05-16,0.38517,0.40171,0.43365,0.37442,0.48989
harvard,DB,1000,rising,gcc_90,2018-05-02,2018-05-06,2018-05-13,2018-04-30,2018-05-05,2018-05-11,2018-05-04,2018-05-08,2018-05-14,0.38508,0.39866,0.42871,0.37496,0.47848
harvard,DB,1000,rising,gcc_90,2019-05-03,2019-05-10,2019-05-17,2019-04-28,2019-05-09,2019-05-15,2019-05-07,2019-05-12,2019-05-18,0.3861,0.3997,0.42738,0.37684,0.47691
harvard,DB,1000,rising,gcc_90,2020-05-11,2020-05-15,2020-05-21,2020-05-10,2020-05-14,2020-05-19,2020-05-13,2020-05-17,2020-05-22,0.38367,0.39819,0.42561,0.37711,0.4697
harvard,DB,1000,rising,gcc_90,2021-05-03,2021-05-09,2021-05-15,2021-05-01,2021-05-07,2021-05-14,2021-05-06,2021-05-11,2021-05-16,0.38676,0.40296,0.42923,0.37876,0.47658
harvard,DB,1000,rising,gcc_90,2022-05-04,2022-05-09,2022-05-15,2022-05-03,2022-05-07,2022-05-13,2022-05-07,2022-05-11,2022-05-16,0.38366,0.39969,0.42692,0.37726,0.46708
harvard,DB,1000,rising,gcc_75,2008-05-01,2008-05-07,2008-05-15,2008-04-29,2008-05-06,2008-05-13,2008-05-04,2008-05-09,2008-05-16,0.37446,0.38767,0.41389,0.36664,0.45554
harvard,DB,1000,rising,gcc_75,2009-04-25,2009-05-02,2009-05-09,2009-04-22,2009-05-01,2009-05-08,2009-04-28,2009-05-04,2009-05-10,0.37454,0.38797,0.41131,0.36616,0.45639
harvard,DB,1000,rising,gcc_75,2010-04-18,2010-04-25,2010-05-02,2010-04-14,2010-04-24,2010-04-30,2010-04-22,2010-04-27,2010-05-03,0.37632,0.3896,0.41659,0.36742,0.46114
harvard,DB,1000,rising,gcc_75,2011-04-30,2011-05-06,2011-05-13,2011-04-27,2011-05-05,2011-05-11,2011-05-03,2011-05-08,2011-05-14,0.37756,0.39121,0.41678,0.36854,0.4618
harvard,DB,1000,rising,gcc_75,2012-04-22,2012-04-30,2012-05-07,2012-04-15,2012-04-29,2012-05-06,2012-04-25,2012-05-02,2012-05-08,0.38019,0.39417,0.41927,0.37057,0.46673
harvard,DB,1000,rising,gcc_75,2013-04-29,2013-05-04,2013-05-10,2013-04-27,2013-05-03,2013-05-09,2013-05-01,2013-05-06,2013-05-11,0.38135,0.39535,0.4189,0.3725,0.46445
harvard,DB,1000,rising,gcc_75,2014-05-05,2014-05-10,2014-05-17,2014-05-04,2014-05-09,2014-05-15,2014-05-07,2014-05-11,2014-05-18,0.3794,0.39652,0.42781,0.37145,0.47278
harvard,DB,1000,rising,gcc_75,2015-04-29,2015-05-04,2015-05-11,2015-04-27,2015-05-03,2015-05-09,2015-05-02,2015-05-06,2015-05-12,0.37848,0.38989,0.41586,0.37124,0.45952
harvard,DB,1000,rising,gcc_75,2016-05-05,2016-05-11,2016-05-18,2016-05-03,2016-05-10,2016-05-16,2016-05-08,2016-05-13,2016-05-19,0.38289,0.39647,0.42759,0.37386,0.47174
harvard,DB,1000,rising,gcc_75,2017-05-02,2017-05-08,2017-05-15,2017-04-29,2017-05-07,2017-05-14,2017-05-05,2017-05-10,2017-05-16,0.38211,0.39753,0.42755,0.37252,0.47924
