#
# Transition date estimate for harvardbarn
#
# Site: harvardbarn
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2012
# Year max: 2022
# Final Processing Date: 2022-10-12
# Final Processing Time: 12:11:39
# Spline RMSE gcc_mean: 0.00294
# Spline RMSE gcc_50: 0.00295
# Spline RMSE gcc_75: 0.00308
# Spline RMSE gcc_90: 0.00345
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvardbarn,DB,1000,rising,gcc_90,2012-04-25,2012-05-03,2012-05-09,2012-04-20,2012-05-02,2012-05-07,2012-04-29,2012-05-04,2012-05-10,0.31105,0.3249,0.35254,0.30169,0.39718
harvardbarn,DB,1000,rising,gcc_90,2013-05-02,2013-05-06,2013-05-11,2013-05-01,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.30621,0.32157,0.34744,0.29785,0.3931
harvardbarn,DB,1000,rising,gcc_90,2014-05-09,2014-05-12,2014-05-17,2014-05-08,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30765,0.31901,0.35043,0.29859,0.40035
harvardbarn,DB,1000,rising,gcc_90,2015-05-04,2015-05-07,2015-05-13,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-14,0.30829,0.32103,0.35418,0.30123,0.39662
harvardbarn,DB,1000,rising,gcc_90,2016-05-09,2016-05-13,2016-05-19,2016-05-08,2016-05-12,2016-05-17,2016-05-11,2016-05-15,2016-05-20,0.30914,0.32368,0.35826,0.30102,0.4026
harvardbarn,DB,1000,rising,gcc_90,2017-05-05,2017-05-11,2017-05-16,2017-05-02,2017-05-10,2017-05-14,2017-05-08,2017-05-12,2017-05-17,0.30993,0.32525,0.35393,0.30097,0.39937
harvardbarn,DB,1000,rising,gcc_90,2018-05-05,2018-05-08,2018-05-14,2018-05-04,2018-05-07,2018-05-13,2018-05-06,2018-05-10,2018-05-15,0.31168,0.32403,0.35667,0.30237,0.40506
harvardbarn,DB,1000,rising,gcc_90,2019-05-10,2019-05-14,2019-05-19,2019-05-08,2019-05-13,2019-05-18,2019-05-12,2019-05-16,2019-05-20,0.31316,0.32607,0.35381,0.30357,0.40159
harvardbarn,DB,1000,rising,gcc_90,2020-05-11,2020-05-16,2020-05-22,2020-05-10,2020-05-15,2020-05-20,2020-05-13,2020-05-18,2020-05-23,0.31143,0.32851,0.36569,0.3016,0.41872
harvardbarn,DB,1000,rising,gcc_90,2021-05-08,2021-05-11,2021-05-16,2021-05-07,2021-05-10,2021-05-14,2021-05-09,2021-05-12,2021-05-17,0.31899,0.33477,0.37032,0.30862,0.41856
harvardbarn,DB,1000,rising,gcc_90,2022-05-08,2022-05-11,2022-05-16,2022-05-07,2022-05-10,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31963,0.33162,0.36978,0.31053,0.41769
harvardbarn,DB,1000,rising,gcc_75,2012-04-27,2012-05-03,2012-05-09,2012-04-22,2012-05-02,2012-05-08,2012-05-01,2012-05-05,2012-05-10,0.31105,0.32212,0.34814,0.30206,0.39338
harvardbarn,DB,1000,rising,gcc_75,2013-05-02,2013-05-06,2013-05-11,2013-05-01,2013-05-05,2013-05-10,2013-05-04,2013-05-07,2013-05-12,0.30373,0.31847,0.34318,0.29507,0.39036
harvardbarn,DB,1000,rising,gcc_75,2014-05-09,2014-05-12,2014-05-17,2014-05-07,2014-05-11,2014-05-16,2014-05-11,2014-05-14,2014-05-18,0.30565,0.317,0.34739,0.29576,0.39778
harvardbarn,DB,1000,rising,gcc_75,2015-05-04,2015-05-07,2015-05-12,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-13,0.30519,0.31834,0.34613,0.29824,0.39341
harvardbarn,DB,1000,rising,gcc_75,2016-05-09,2016-05-13,2016-05-19,2016-05-07,2016-05-12,2016-05-17,2016-05-11,2016-05-14,2016-05-20,0.30744,0.32194,0.35472,0.2973,0.39975
harvardbarn,DB,1000,rising,gcc_75,2017-05-05,2017-05-11,2017-05-16,2017-05-01,2017-05-10,2017-05-14,2017-05-08,2017-05-12,2017-05-17,0.30784,0.32246,0.34984,0.29821,0.39548
harvardbarn,DB,1000,rising,gcc_75,2018-05-05,2018-05-09,2018-05-15,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-16,0.30842,0.32343,0.35738,0.29953,0.40282
harvardbarn,DB,1000,rising,gcc_75,2019-05-09,2019-05-14,2019-05-19,2019-05-08,2019-05-13,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30915,0.32493,0.35171,0.30097,0.39844
harvardbarn,DB,1000,rising,gcc_75,2020-05-11,2020-05-16,2020-05-22,2020-05-10,2020-05-15,2020-05-21,2020-05-13,2020-05-18,2020-05-23,0.30904,0.3251,0.36133,0.29901,0.41579
harvardbarn,DB,1000,rising,gcc_75,2021-05-08,2021-05-11,2021-05-16,2021-05-07,2021-05-10,2021-05-14,2021-05-09,2021-05-12,2021-05-17,0.31712,0.33174,0.36519,0.30679,0.41555
harvardbarn,DB,1000,rising,gcc_75,2022-05-08,2022-05-12,2022-05-16,2022-05-07,2022-05-11,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.31776,0.33492,0.36657,0.30869,0.41408
harvardbarn,DB,1000,rising,gcc_50,2012-04-25,2012-05-03,2012-05-10,2012-04-21,2012-05-02,2012-05-08,2012-04-29,2012-05-05,2012-05-11,0.3072,0.31838,0.34654,0.29802,0.3899
harvardbarn,DB,1000,rising,gcc_50,2013-05-02,2013-05-05,2013-05-11,2013-04-30,2013-05-04,2013-05-10,2013-05-03,2013-05-07,2013-05-12,0.29951,0.30963,0.33817,0.29003,0.38501
harvardbarn,DB,1000,rising,gcc_50,2014-05-09,2014-05-13,2014-05-18,2014-05-08,2014-05-12,2014-05-16,2014-05-11,2014-05-14,2014-05-19,0.30103,0.31721,0.34752,0.2923,0.39337
harvardbarn,DB,1000,rising,gcc_50,2015-05-04,2015-05-07,2015-05-13,2015-05-03,2015-05-06,2015-05-11,2015-05-06,2015-05-09,2015-05-14,0.30161,0.31439,0.34731,0.2948,0.38894
harvardbarn,DB,1000,rising,gcc_50,2016-05-08,2016-05-12,2016-05-18,2016-05-07,2016-05-11,2016-05-17,2016-05-10,2016-05-14,2016-05-19,0.30149,0.3149,0.3441,0.29268,0.39519
harvardbarn,DB,1000,rising,gcc_50,2017-05-02,2017-05-10,2017-05-16,2017-04-29,2017-05-09,2017-05-15,2017-05-06,2017-05-12,2017-05-17,0.30366,0.3161,0.34453,0.29396,0.39107
harvardbarn,DB,1000,rising,gcc_50,2018-05-05,2018-05-09,2018-05-15,2018-05-04,2018-05-08,2018-05-13,2018-05-07,2018-05-11,2018-05-16,0.30418,0.31882,0.35304,0.29617,0.39891
harvardbarn,DB,1000,rising,gcc_50,2019-05-09,2019-05-13,2019-05-19,2019-05-07,2019-05-12,2019-05-18,2019-05-11,2019-05-15,2019-05-20,0.30733,0.31922,0.34799,0.29806,0.39397
harvardbarn,DB,1000,rising,gcc_50,2020-05-10,2020-05-16,2020-05-22,2020-04-27,2020-05-15,2020-05-21,2020-05-13,2020-05-18,2020-05-23,0.3047,0.32,0.35465,0.29461,0.41096
harvardbarn,DB,1000,rising,gcc_50,2021-05-08,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-15,2021-05-09,2021-05-12,2021-05-17,0.31525,0.32865,0.35981,0.30456,0.41167
